1,baz,2,
2,bar,4,
3,bar,5,
4,bar,8,
5,bar,16,
6,foo,3,
7,foo,4,
8,foo,8,
9,main,2,
10,main,4,
11,baz,8,
12,bar,17,
13,foo,9,
14,main,5,
15,baz,0,
16,baz,1,
17,baz,3,
18,baz,4,
19,baz,5,
20,baz,6,
21,baz,7,
22,bar,0,
23,bar,1,
24,bar,2,
25,bar,3,
26,bar,6,
27,bar,7,
28,bar,9,
29,bar,10,
30,bar,11,
31,bar,12,
32,bar,13,
33,bar,14,
34,bar,15,
35,foo,0,
36,foo,1,
37,foo,2,
38,foo,5,
39,foo,6,
40,foo,7,
41,main,0,
42,main,1,
43,main,3,
44,glob,,
45,baz,,
46,bar,,
47,foo,,
48,main,,
49,baz,,
50,baz,,0
51,bar,,0
52,bar,,
53,foo,,0
54,foo,,
55,baz,,0
56,baz,,
57,bar,,0
58,bar,,
59,foo,,0
60,foo,,
61,baz,,0
62,baz,,
63,bar,,0
64,bar,,
65,foo,,0
66,foo,,
67,baz,,0
68,baz,,
69,bar,,0
70,bar,,
71,foo,,0
72,foo,,
73,llvm.global.annotations,,
