(1,1)
(2,2)
(3,3)
(4,4)
(5,5)
(6,6)
(7,7)
(8,8)
(9,9)
(10,10)
(11,11)
(12,12)
(13,13)
(14,14)
(15,15)
(16,16)
(17,17)
(18,18)
(19,19)
(20,20)
(21,21)
(22,22)
(23,23)
(24,24)
(25,25)
(26,26)
(27,27)
(28,28)
(29,29)
(30,30)
(31,30)
(32,31)
(33,32)
(34,32)
(35,33)
(36,34)
(37,35)
(38,36)
(39,37)
(40,38)
(41,38)
(42,39)
(43,40)
(44,40)
(45,41)
(46,42)
(47,43)
(48,44)
(49,45)
(50,45)
(51,46)
(52,47)
(53,47)
(54,48)
(55,49)
(56,50)
(57,51)
(58,52)
(59,53)
(60,54)
(61,55)
(62,55)
(63,56)
(64,57)
(65,57)
(66,58)
(67,59)
(68,60)
(69,61)
(70,62)
(71,63)
(72,64)
(73,65)
(74,66)
(75,67)
(76,68)
